text,label,type
History of the Roman print Empire explained for pupil,0,
History of the Roman Conglomerate explained for scholar,0,
Basics of cloud computing and its benefit,0,
Basic of cloud computer science and its benefits,0,
Fundamentals of swarm computing and its welfare,0,
Tips for staying productive while go from nursing home,0,
Summit for stay productive while solve from home,0,
Tips for staying generative while working from plate,0,
How to create a personal finance budget,0,
How to create a personal finance budget,0,
How to produce a personal finance budget,0,
Beginner ' s scout to yoga and meditation,0,
Beginner ' mho usher to yoga and meditation,0,
Father ' s guide to yoga and meditation,0,
Search the solar system and blank space travel account,0,
Exploring the solar arrangement and distance traveling history,0,
Explore the solar system and space traveling story,0,
Best practices for unclouded coding in Coffee,0,
Good practices for clean cryptography in Coffee,0,
Good practices for clean secret writing in Java,0,
Top tenner pic to watch this year,0,
Top x movies to look out this year,0,
Top 10 movies to look on this yr,0,
Learning Bum and GitHub for version ascendancy,0,
Teach Git and GitHub for version control,0,
Memorise Git and GitHub for edition control,0,
How to develop indoor plant well at home,0,
How to grow indoor plant well at family,0,
How to mature indoor plants easily at place,0,
An overview of machine learning algorithms,0,
An overview of machine erudition algorithms,0,
An overview of machine learning algorithms,0,
Beginner ' entropy guide to photography technique,0,
Father ' second guide to photography techniques,0,
Initiate ' s guide to photography proficiency,0,
Understanding blockchain and cryptocurrency fundamentals,0,
Understanding blockchain and cryptocurrency rudiments,0,
Understand blockchain and cryptocurrency basics,0,
Review of the latest iPhone good example feature,0,
Review of the latest iPhone manikin feature,0,
Limited review of the late iPhone manakin features,0,
How to improve your public speaking skill,0,
How to improve your public speaking acquisition,0,
How to improve your public speaking attainment,0,
Introduction to cybersecurity for beginners,0,
Introduction to cybersecurity for founder,0,
Introduction to cybersecurity for tyro,0,
A simple recipe for wee wee homemade pizza pie,0,
A simple formula for making homemade pizza,0,
A simple formula for gain homemade pizza,0,
Peak for preparing for job interview efficaciously,0,
Tips for preparing for caper audience efficaciously,0,
Crest for preparing for job audience effectively,0,
A complete guide to journey in Japanese islands,0,
A complete guide to traveling in Japanese archipelago,0,
A perfect pathfinder to traveling in Japan,0,
How to start put in the stock marketplace,0,
How to start put in the stock mart,0,
How to start seat in the ancestry market,0,
Best scheduling language to learn in 2025,0,
Good computer programing languages to learn in 2025,0,
Best scheduling lyric to get a line in 2025,0,
Overview of World State of war II historical event,0,
Overview of Earthly concern War II historical events,0,
Overview of World State of war II historical event,0,
Tips for maintaining a healthy piece of work life rest,0,
Gratuity for maintain a healthy work liveliness balance,0,
Tips for exert a healthy work life story balance,0,
Guidebook to save better resumes and cover alphabetic character,0,
Template to write better resumes and cover letters,0,
Guide to compose better survey and cover letters,0,
Learning how to build REST genus apis with Flaskful,0,
Learning how to build relaxation genus apis with Flask,0,
Learn how to make REST genus apis with Flask,0,
Tyro ' s tutorial for creating mobile apps,0,
Beginner ' s tutorial for create mobile apps,0,
Beginner ' s tutorial for creating roving apps,0,
Basic principle of using Microsoft Excel expeditiously,0,
Basics of using Microsoft Excel efficiently,0,
Rudiments of use Microsoft Excel efficiently,0,
Understanding hokey intelligence in simple terminus,0,
Sympathize artificial intelligence in simple terms,0,
Understanding artificial intelligence in mere term,0,
How to discipline for a marathon step by step,0,
How to school for a marathon pace by footfall,0,
How to check for a marathon step by step,0,
Explain the fundamental frequency of physics to bookman,0,
Explicate the first harmonic of physics to students,0,
Excuse the basic principle of physics to students,0,
A mere guide to online privateness and security,0,
A simple guide to online seclusion and certificate,0,
A simple guide to online privacy and security measures,0,
How to ramp up muscle with a proper diet programme,0,
How to build muscle with a proper diet design,0,
How to build brawniness with a proper diet design,0,
Watch how to cook pasta alike a professional,0,
Find out how to prepare pasta like a professional,0,
Learning how to ready pasta comparable a professional,0,
Tips for saving money on monthly expenses,0,
Tips for saving money on monthly expense,0,
Tips for redeem money on monthly expenses,0,
Beginner ' s usher to diddle the guitar,0,
Tiro ' atomic number 16 guide to playing the guitar,0,
Beginner ' s guide to toy the guitar,0,
Understanding how the net oeuvre,0,
Understanding how the cyberspace kit and boodle,0,
Realize how the internet works,0,
How to spell clean and maintainable code,0,
How to save clean and maintainable code,0,
How to write clean and maintainable computer code,0,
A scout to understanding climate alteration,0,
A guide to understanding climate modification,0,
A pathfinder to understanding climate alteration,0,
Whole tone by step tutorial for drawing cartoons,0,
Step by step tutorial for drawing toon,0,
Stride by footmark tutorial for draw cartoons,0,
Bakshis for becoming a better photographer,0,
Tip for turn a better photographer,0,
Point for turn a better photographer,0,
How to be after a perfect wedding on a budget,0,
How to contrive a perfect wedding on a budget,0,
How to contrive a utter wedding on a budget,0,
Larn how to drive a car safely,0,
See how to drive a car safely,0,
Learning how to drive a railroad car safely,0,
Guide to induce good YouTube videos,0,
Pathfinder to making better YouTube video,0,
Guide to gain estimable YouTube videos,0,
How to fix common computing device problems,0,
How to fix unwashed computer problems,0,
How to desex rough cut computer problems,0,
A guidebook to buy your first home,0,
A guide to buy your 1st plate,0,
A templet to buying your foremost plate,0,
Learning basic Spanish phrase for travel,0,
Learning canonic Spanish phrases for change of location,0,
Learning canonic Spanish phrases for travel,0,
Top 5 tips for exam prep winner,0,
Top 5 tips for exam formulation success,0,
Top 5 lead for exam preparation success,0,
Guide to building a personal portfolio site,0,
Guide to building a personal portfolio web site,0,
Guide to work up a personal portfolio website,0,
An introduction to basic graphical design,0,
An introduction to basic graphic pattern,0,
An introduction to basic graphic plan,0,
Understanding genial health and well follow,0,
Understand mental wellness and well being,0,
Understanding mental health and well equal,0,
Best tips for effective time direction,0,
Upright tips for in force time management,0,
Good tips for effective time management,0,
How to start a web log and grow an consultation,0,
How to start a blog and acquire an audience,0,
How to start a blog and produce an audience,0,
A beginner ' southward guide to astronomy and stargaze,0,
A tyro ' sulfur guide to astronomy and stargaze,0,
A beginner ' entropy manoeuver to astronomy and stargazing,0,
Learn how to blue pencil videos professionally,0,
Learning how to edit television professionally,0,
Learning how to blue pencil videos professionally,0,
Steps to adopt a favorite weenie or cat,0,
Gradation to take in a pet dog or cat,0,
Steps to adopt a preferent hotdog surgery cat,0,
A templet to creating stiff passwords,0,
A guide to creating hard passwords,0,
A guidebook to creating strong passwords,0,
